YEAR,PAPER,DATE OF REPORT,DATE OF INCIDENT,LOCATION,HEADLINE,LINK
,,"June 6, 2019",,"Awka, Anambra State",ICYMI: Herdsmen have no reason to attack South-East – Miyetti Allah,https://punchng.com/herdsmen-have-no-reason-to-attack-seast-miyetti-allah/
,,"June 6, 2019",,,Police deny siege by herdsmen in Ogun,https://punchng.com/police-deny-siege-by-herdsmen-in-ogun/
,,"June 5, 2019",,,Herdsmen: Imo group threatens self-defence,https://punchng.com/herdsmen-imo-group-threatens-self-defence/
,,"June 5, 2019",,,Christian elders react as UK probes herdsmen/farmers’ crisis,https://punchng.com/christian-elders-react-as-uk-probes-herdsmen-farmers-crisis/
,,"June 2, 2019",,,"Herdsmen are also victims of crime, not criminals — Miyetti Allah",https://punchng.com/herdsmen-are-also-victims-of-crime-not-criminals-miyetti-allah/
,,"June 2, 2019",,,Security agents backing Fulani herdsmen to commit crime in South-West —YCE,https://punchng.com/security-agents-backing-fulani-herdsmen-to-commit-crime-in-south-west-yce/
,,"May 29, 2019",,,Saving South West from herdsmen,https://punchng.com/saving-swest-from-herdsmen/
,,"May 27, 2019",,Abuja-Lokoja Road,A nation ruled by Fulani herdsmen,https://punchng.com/a-nation-ruled-by-fulani-herdsmen/
,,"May 26, 2019",,,"Adebanjo, Clark, others attack FG over herdsmen radio",https://punchng.com/adebanjo-clark-others-attack-fg-over-herdsmen-radio/
,,"May 26, 2019",,,"Fulani radio to educate herdsmen, fishermen, farmers, hunters — NBC",https://punchng.com/fulani-radio-to-educate-herdsmen-fishermen-farmers-hunters-nbc/
,,"May 26, 2019",,,"OIC agenda, herdsmen radio confirm Obasanjo’s position –CAN",https://punchng.com/oic-agenda-herdsmen-radio-confirm-obasanjos-position-can/
,,"May 24, 2019",,,"CAN, JNI clash over FG’s radio station for herdsmen",https://punchng.com/can-jni-clash-over-fgs-radio-station-for-herdsmen/
,,"May 23, 2019",,,"Southern, Middle Belt leaders criticise FG for setting up radio to reach Fulani herdsmen",https://punchng.com/southern-middle-belt-leaders-criticise-fg-for-setting-up-radio-to-reach-fulani-herdsmen/
,,"May 23, 2019",,,FG acquires radio licence to reach herdsmen,https://punchng.com/fg-acquires-radio-licence-to-reach-herdsmen/
,,"May 22, 2019",,Abuja,FG opens radio station to reach herdsmen,https://punchng.com/breaking-fg-opens-radio-station-to-reach-herdsmen/
,,"May 20, 2019",,"Ubulu-uku, Aniocha South Local Government Area of Delta State.","Again, suspected Fulani herdsmen kill one, injure another in Delta",https://punchng.com/again-suspected-fulani-herdsmen-kill-one-injure-another-in-delta/
,,"May 20, 2019",,Okada junction on the Benin-Lagos Expressway.,"Suspected herdsmen kill one, abduct seven in Edo",https://punchng.com/suspected-herdsmen-kill-one-abduct-seven-in-edo/
,,"May 20, 2019",,,Boko Haram/Herdsmen: Ethnic nationalities regroup to defend territories,https://punchng.com/boko-haram-herdsmen-ethnic-nationalities-regroup-to-defend-territories/
,,"May 19, 2019",,,Govs must back OPC to check South-West herdsmen’s excesses –New Era,https://punchng.com/govs-must-back-opc-to-check-swest-herdsmens-excesses-new-era/
